path,url,depth,direct_files,direct_bytes,direct_bytes_human,recursive_files,recursive_bytes,recursive_bytes_human,recursive_dirs,subdir_count,external_refs
,https://myrient.erista.me/files/,0,0,0,0 B,2908844,386469953416320,351.49 TiB,66380,21,0
Eggman's Arcade Repository,https://myrient.erista.me/files/Eggman%27s%20Arcade%20Repository/,1,0,0,0 B,3635,3066399107191,2.79 TiB,988,32,0
FinalBurn Neo,https://myrient.erista.me/files/FinalBurn%20Neo/,1,0,0,0 B,24333,30073971110,28.01 GiB,19,18,0
HBMAME,https://myrient.erista.me/files/HBMAME/,1,0,0,0 B,10500,38357862790,35.72 GiB,14,5,0
Hardware Target Game Database,https://myrient.erista.me/files/Hardware%20Target%20Game%20Database/,1,0,0,0 B,7227,490822207707,457.11 GiB,733,50,0
Internet Archive,https://myrient.erista.me/files/Internet%20Archive/,1,0,0,0 B,234616,44511371905891,40.48 TiB,6469,29,0
Laserdisc Collection,https://myrient.erista.me/files/Laserdisc%20Collection/,1,0,0,0 B,39600,4807823157944,4.37 TiB,1396,18,0
Lost Level,https://myrient.erista.me/files/Lost%20Level/,1,0,0,0 B,3884,311390053439,290.00 GiB,88,2,0
MAME,https://myrient.erista.me/files/MAME/,1,0,0,0 B,750984,6555943847300,5.96 TiB,12750,13,0
Miscellaneous,https://myrient.erista.me/files/Miscellaneous/,1,0,0,0 B,61907,7171146462257,6.52 TiB,17445,14,0
No-Intro,https://myrient.erista.me/files/No-Intro/,1,0,0,0 B,306890,91769116340239,83.46 TiB,492,458,0
Redump,https://myrient.erista.me/files/Redump/,1,0,0,0 B,131734,206763162393373,188.05 TiB,114,85,0
RetroAchievements,https://myrient.erista.me/files/RetroAchievements/,1,0,0,0 B,15805,3120336236985,2.84 TiB,200,52,0
T-En Collection,https://myrient.erista.me/files/T-En%20Collection/,1,0,0,0 B,4465,832446147181,775.28 GiB,74,61,0
TOSEC,https://myrient.erista.me/files/TOSEC/,1,0,0,0 B,1009504,326081509387,303.69 GiB,4423,212,0
TOSEC-ISO,https://myrient.erista.me/files/TOSEC-ISO/,1,0,0,0 B,12064,6647320460325,6.05 TiB,492,28,0
TOSEC-PIX,https://myrient.erista.me/files/TOSEC-PIX/,1,0,0,0 B,39056,2477640936497,2.25 TiB,1699,54,0
TeknoParrot,https://myrient.erista.me/files/TeknoParrot/,1,519,1760555216847,1.60 TiB,519,1760555216847,1.60 TiB,1,0,0
Total DOS Collection,https://myrient.erista.me/files/Total%20DOS%20Collection/,1,3,196478,191.87 KiB,42306,1116805583650,1.02 TiB,178,3,0
Touhou Project Collection,https://myrient.erista.me/files/Touhou%20Project%20Collection/,1,0,0,0 B,850,456578671406,425.22 GiB,42,7,0
bitsavers,https://myrient.erista.me/files/bitsavers/,1,13,1372008,1.31 MiB,186964,1807835033486,1.64 TiB,18667,29,0
eXo,https://myrient.erista.me/files/eXo/,1,0,0,0 B,22001,2408746311315,2.19 TiB,95,9,0
Eggman's Arcade Repository/!README,https://myrient.erista.me/files/Eggman%27s%20Arcade%20Repository/%21README/,2,2,3583,3.50 KiB,2,3583,3.50 KiB,1,0,0
Eggman's Arcade Repository/!Support Files,https://myrient.erista.me/files/Eggman%27s%20Arcade%20Repository/%21Support%20Files/,2,0,0,0 B,1439,14401252851,13.41 GiB,355,13,0
Eggman's Arcade Repository/Adrenaline Amusements,https://myrient.erista.me/files/Eggman%27s%20Arcade%20Repository/Adrenaline%20Amusements/,2,10,230209226,219.54 MiB,15,284988718,271.79 MiB,2,1,0
Eggman's Arcade Repository/AmuseWorld,https://myrient.erista.me/files/Eggman%27s%20Arcade%20Repository/AmuseWorld/,2,0,0,0 B,33,200331623124,186.57 GiB,9,4,0
Eggman's Arcade Repository/Andamiro,https://myrient.erista.me/files/Eggman%27s%20Arcade%20Repository/Andamiro/,2,4,1686319921,1.57 GiB,15,1709180389,1.59 GiB,9,1,0
Eggman's Arcade Repository/Apple,https://myrient.erista.me/files/Eggman%27s%20Arcade%20Repository/Apple/,2,5,4184971673,3.90 GiB,5,4184971673,3.90 GiB,1,0,0
Eggman's Arcade Repository/Bandai Namco,https://myrient.erista.me/files/Eggman%27s%20Arcade%20Repository/Bandai%20Namco/,2,1,444,444 B,1,444,444 B,1,0,0
Eggman's Arcade Repository/Capcom,https://myrient.erista.me/files/Eggman%27s%20Arcade%20Repository/Capcom/,2,2,1739168153,1.62 GiB,5,23536137316,21.92 GiB,2,1,0
Eggman's Arcade Repository/Cave,https://myrient.erista.me/files/Eggman%27s%20Arcade%20Repository/Cave/,2,2,657771724,627.30 MiB,2,657771724,627.30 MiB,1,0,0
Eggman's Arcade Repository/EXAMU,https://myrient.erista.me/files/Eggman%27s%20Arcade%20Repository/EXAMU/,2,7,4351909167,4.05 GiB,7,4351909167,4.05 GiB,1,0,0
Eggman's Arcade Repository/Gaelco,https://myrient.erista.me/files/Eggman%27s%20Arcade%20Repository/Gaelco/,2,1,219466956,209.30 MiB,1,219466956,209.30 MiB,1,0,0
Eggman's Arcade Repository/GameWax,https://myrient.erista.me/files/Eggman%27s%20Arcade%20Repository/GameWax/,2,1,332713164,317.30 MiB,1,332713164,317.30 MiB,1,0,0
Eggman's Arcade Repository/Global VR,https://myrient.erista.me/files/Eggman%27s%20Arcade%20Repository/Global%20VR/,2,0,0,0 B,96,74271054194,69.17 GiB,26,25,0
Eggman's Arcade Repository/ICE,https://myrient.erista.me/files/Eggman%27s%20Arcade%20Repository/ICE/,2,0,0,0 B,179,272736638676,254.01 GiB,48,47,0
Eggman's Arcade Repository/IGS,https://myrient.erista.me/files/Eggman%27s%20Arcade%20Repository/IGS/,2,0,0,0 B,7,1255566128,1.17 GiB,4,3,0
Eggman's Arcade Repository/Incredible Technologies,https://myrient.erista.me/files/Eggman%27s%20Arcade%20Repository/Incredible%20Technologies/,2,0,0,0 B,31,229205450451,213.46 GiB,28,24,0
Eggman's Arcade Repository/Konami,https://myrient.erista.me/files/Eggman%27s%20Arcade%20Repository/Konami/,2,0,0,0 B,95,102480122915,95.44 GiB,47,39,0
Eggman's Arcade Repository/Konami Rhythm,https://myrient.erista.me/files/Eggman%27s%20Arcade%20Repository/Konami%20Rhythm/,2,0,0,0 B,216,171747560766,159.95 GiB,105,19,0
Eggman's Arcade Repository/MAME BEMANI,https://myrient.erista.me/files/Eggman%27s%20Arcade%20Repository/MAME%20BEMANI/,2,1,24117248,23.00 MiB,1,24117248,23.00 MiB,1,0,0
Eggman's Arcade Repository/Miscellaneous,https://myrient.erista.me/files/Eggman%27s%20Arcade%20Repository/Miscellaneous/,2,35,16456693586,15.33 GiB,67,186800692768,173.97 GiB,17,13,0
Eggman's Arcade Repository/Namco,https://myrient.erista.me/files/Eggman%27s%20Arcade%20Repository/Namco/,2,0,0,0 B,214,298254877189,277.77 GiB,63,14,0
Eggman's Arcade Repository/PrimeTime Amusements,https://myrient.erista.me/files/Eggman%27s%20Arcade%20Repository/PrimeTime%20Amusements/,2,4,1480065661,1.38 GiB,4,1480065661,1.38 GiB,1,0,0
Eggman's Arcade Repository/Raw Thrills,https://myrient.erista.me/files/Eggman%27s%20Arcade%20Repository/Raw%20Thrills/,2,0,0,0 B,163,418120461397,389.41 GiB,35,34,0
Eggman's Arcade Repository/Sega,https://myrient.erista.me/files/Eggman%27s%20Arcade%20Repository/Sega/,2,0,0,0 B,762,682673161487,635.79 GiB,86,11,0
Eggman's Arcade Repository/Taito,https://myrient.erista.me/files/Eggman%27s%20Arcade%20Repository/Taito/,2,0,0,0 B,37,330136289262,307.46 GiB,8,7,0
Eggman's Arcade Repository/Touchscreen,https://myrient.erista.me/files/Eggman%27s%20Arcade%20Repository/Touchscreen/,2,0,0,0 B,224,42599620467,39.67 GiB,122,6,0
Eggman's Arcade Repository/Triotech Amusement,https://myrient.erista.me/files/Eggman%27s%20Arcade%20Repository/Triotech%20Amusement/,2,0,0,0 B,2,60690,59.27 KiB,3,2,0
Eggman's Arcade Repository/Tsunami Visual Technologies,https://myrient.erista.me/files/Eggman%27s%20Arcade%20Repository/Tsunami%20Visual%20Technologies/,2,1,32925286,31.40 MiB,1,32925286,31.40 MiB,1,0,0
Eggman's Arcade Repository/UNIS Technology,https://myrient.erista.me/files/Eggman%27s%20Arcade%20Repository/UNIS%20Technology/,2,0,0,0 B,5,218308811,208.20 MiB,5,4,0
Eggman's Arcade Repository/Uniana,https://myrient.erista.me/files/Eggman%27s%20Arcade%20Repository/Uniana/,2,2,156657254,149.40 MiB,2,156657254,149.40 MiB,1,0,0
Eggman's Arcade Repository/Virtuality,https://myrient.erista.me/files/Eggman%27s%20Arcade%20Repository/Virtuality/,2,2,7864319,7.50 MiB,2,7864319,7.50 MiB,1,0,0
Eggman's Arcade Repository/Wahlap,https://myrient.erista.me/files/Eggman%27s%20Arcade%20Repository/Wahlap/,2,1,4187593113,3.90 GiB,1,4187593113,3.90 GiB,1,0,0
FinalBurn Neo/arcade,https://myrient.erista.me/files/FinalBurn%20Neo/arcade/,2,8187,20838222602,19.41 GiB,8187,20838222602,19.41 GiB,1,0,0
FinalBurn Neo/channelf,https://myrient.erista.me/files/FinalBurn%20Neo/channelf/,2,50,226149,220.85 KiB,50,226149,220.85 KiB,1,0,0
FinalBurn Neo/coleco,https://myrient.erista.me/files/FinalBurn%20Neo/coleco/,2,559,9776011,9.32 MiB,559,9776011,9.32 MiB,1,0,0
FinalBurn Neo/fds,https://myrient.erista.me/files/FinalBurn%20Neo/fds/,2,207,10637228,10.14 MiB,207,10637228,10.14 MiB,1,0,0
FinalBurn Neo/gamegear,https://myrient.erista.me/files/FinalBurn%20Neo/gamegear/,2,611,110184108,105.08 MiB,611,110184108,105.08 MiB,1,0,0
FinalBurn Neo/hdd,https://myrient.erista.me/files/FinalBurn%20Neo/hdd/,2,2,223241829,212.90 MiB,2,223241829,212.90 MiB,1,0,0
FinalBurn Neo/megadrive,https://myrient.erista.me/files/FinalBurn%20Neo/megadrive/,2,2857,2169137954,2.02 GiB,2857,2169137954,2.02 GiB,1,0,0
FinalBurn Neo/msx,https://myrient.erista.me/files/FinalBurn%20Neo/msx/,2,1742,46893081,44.72 MiB,1742,46893081,44.72 MiB,1,0,0
FinalBurn Neo/nes,https://myrient.erista.me/files/FinalBurn%20Neo/nes/,2,2816,322657581,307.71 MiB,2816,322657581,307.71 MiB,1,0,0
FinalBurn Neo/ngp,https://myrient.erista.me/files/FinalBurn%20Neo/ngp/,2,134,70922802,67.64 MiB,134,70922802,67.64 MiB,1,0,0
FinalBurn Neo/pce,https://myrient.erista.me/files/FinalBurn%20Neo/pce/,2,363,81488752,77.71 MiB,363,81488752,77.71 MiB,1,0,0
FinalBurn Neo/samples,https://myrient.erista.me/files/FinalBurn%20Neo/samples/,2,52,3543891023,3.30 GiB,52,3543891023,3.30 GiB,1,0,0
FinalBurn Neo/sg1000,https://myrient.erista.me/files/FinalBurn%20Neo/sg1000/,2,237,3699929,3.53 MiB,237,3699929,3.53 MiB,1,0,0
FinalBurn Neo/sgx,https://myrient.erista.me/files/FinalBurn%20Neo/sgx/,2,10,4929122,4.70 MiB,10,4929122,4.70 MiB,1,0,0
FinalBurn Neo/sms,https://myrient.erista.me/files/FinalBurn%20Neo/sms/,2,830,99529591,94.92 MiB,830,99529591,94.92 MiB,1,0,0
FinalBurn Neo/snes,https://myrient.erista.me/files/FinalBurn%20Neo/snes/,2,2436,2413715811,2.25 GiB,2436,2413715811,2.25 GiB,1,0,0
FinalBurn Neo/spectrum,https://myrient.erista.me/files/FinalBurn%20Neo/spectrum/,2,3142,102487822,97.74 MiB,3142,102487822,97.74 MiB,1,0,0
FinalBurn Neo/tg16,https://myrient.erista.me/files/FinalBurn%20Neo/tg16/,2,98,22329715,21.30 MiB,98,22329715,21.30 MiB,1,0,0
HBMAME/ROMs (bios-devices),https://myrient.erista.me/files/HBMAME/ROMs%20%28bios-devices%29/,2,59,8450243,8.06 MiB,59,8450243,8.06 MiB,1,0,0
HBMAME/ROMs (merged),https://myrient.erista.me/files/HBMAME/ROMs%20%28merged%29/,2,726,25053838295,23.33 GiB,726,25053838295,23.33 GiB,1,0,0
HBMAME/Rollback CHDs,https://myrient.erista.me/files/HBMAME/Rollback%20CHDs/,2,0,0,0 B,6,833827634,795.20 MiB,7,6,0
HBMAME/Rollback ROMs,https://myrient.erista.me/files/HBMAME/Rollback%20ROMs/,2,9443,9122596796,8.50 GiB,9443,9122596796,8.50 GiB,1,0,0
HBMAME/Software List ROMs (merged),https://myrient.erista.me/files/HBMAME/Software%20List%20ROMs%20%28merged%29/,2,0,0,0 B,266,3339149822,3.11 GiB,3,2,0
Hardware Target Game Database/Analogue Nt Mini Legacy Jailbreak,https://myrient.erista.me/files/Hardware%20Target%20Game%20Database/Analogue%20Nt%20Mini%20Legacy%20Jailbreak/,2,15,10845631,10.34 MiB,540,813420083,775.74 MiB,57,3,0
Hardware Target Game Database/Analogue Nt Mini Noir Jailbreak,https://myrient.erista.me/files/Hardware%20Target%20Game%20Database/Analogue%20Nt%20Mini%20Noir%20Jailbreak/,2,20,12307186,11.74 MiB,580,825321199,787.09 MiB,61,5,0
Hardware Target Game Database/Apocalypse,https://myrient.erista.me/files/Hardware%20Target%20Game%20Database/Apocalypse/,2,2,59139686,56.40 MiB,16,92082683,87.82 MiB,3,1,0
Hardware Target Game Database/Atari 2600,https://myrient.erista.me/files/Hardware%20Target%20Game%20Database/Atari%202600/,2,8,11692131,11.15 MiB,360,25864455,24.67 MiB,18,3,0
Hardware Target Game Database/Atari 5200,https://myrient.erista.me/files/Hardware%20Target%20Game%20Database/Atari%205200/,2,6,2278596,2.17 MiB,30,4890195,4.66 MiB,8,1,0
Hardware Target Game Database/Atari 7800,https://myrient.erista.me/files/Hardware%20Target%20Game%20Database/Atari%207800/,2,6,14383103,13.72 MiB,34,20803470,19.84 MiB,7,1,0
Hardware Target Game Database/Atari Jaguar,https://myrient.erista.me/files/Hardware%20Target%20Game%20Database/Atari%20Jaguar/,2,6,6987056841,6.51 GiB,37,7522879164,7.01 GiB,6,2,0
Hardware Target Game Database/Atari Lynx,https://myrient.erista.me/files/Hardware%20Target%20Game%20Database/Atari%20Lynx/,2,7,16587367,15.82 MiB,38,49949890,47.64 MiB,7,2,0
Hardware Target Game Database/Colecovision,https://myrient.erista.me/files/Hardware%20Target%20Game%20Database/Colecovision/,2,7,7583948,7.23 MiB,56,18186836,17.34 MiB,12,2,0
Hardware Target Game Database/Darksoft CPS2,https://myrient.erista.me/files/Hardware%20Target%20Game%20Database/Darksoft%20CPS2/,2,0,0,0 B,364,5411805458,5.04 GiB,10,1,0
Hardware Target Game Database/Darksoft CPS3,https://myrient.erista.me/files/Hardware%20Target%20Game%20Database/Darksoft%20CPS3/,2,1,419220684,399.80 MiB,3,509922508,486.30 MiB,2,1,0
Hardware Target Game Database/Darksoft Namco System 1,https://myrient.erista.me/files/Hardware%20Target%20Game%20Database/Darksoft%20Namco%20System%201/,2,1,27787264,26.50 MiB,1,27787264,26.50 MiB,1,0,0
Hardware Target Game Database/Darksoft Neo Geo,https://myrient.erista.me/files/Hardware%20Target%20Game%20Database/Darksoft%20Neo%20Geo/,2,0,0,0 B,241,3368955096,3.14 GiB,2,1,0
Hardware Target Game Database/Darksoft STV,https://myrient.erista.me/files/Hardware%20Target%20Game%20Database/Darksoft%20STV/,2,0,0,0 B,55,743020931,708.60 MiB,3,1,0
Hardware Target Game Database/Darksoft Taito F3,https://myrient.erista.me/files/Hardware%20Target%20Game%20Database/Darksoft%20Taito%20F3/,2,0,0,0 B,99,891918708,850.60 MiB,4,1,0
Hardware Target Game Database/Dreamcast Supplement,https://myrient.erista.me/files/Hardware%20Target%20Game%20Database/Dreamcast%20Supplement/,2,47,26889368352,25.04 GiB,83,32186984006,29.98 GiB,3,2,0
Hardware Target Game Database/EverDrive 64 & 64drive,https://myrient.erista.me/files/Hardware%20Target%20Game%20Database/EverDrive%2064%20%26%2064drive/,2,11,12903566536,12.02 GiB,139,40929381524,38.12 GiB,25,3,0
Hardware Target Game Database/EverDrive GB,https://myrient.erista.me/files/Hardware%20Target%20Game%20Database/EverDrive%20GB/,2,2,356,356 B,277,1413961878,1.32 GiB,64,1,0
Hardware Target Game Database/EverDrive GBA,https://myrient.erista.me/files/Hardware%20Target%20Game%20Database/EverDrive%20GBA/,2,13,8564454190,7.98 GiB,140,27348854694,25.47 GiB,23,6,0
Hardware Target Game Database/EverDrive GG,https://myrient.erista.me/files/Hardware%20Target%20Game%20Database/EverDrive%20GG/,2,9,146547478,139.76 MiB,75,395114643,376.81 MiB,13,2,0
Hardware Target Game Database/EverDrive N8 & PowerPak,https://myrient.erista.me/files/Hardware%20Target%20Game%20Database/EverDrive%20N8%20%26%20PowerPak/,2,9,91159904,86.94 MiB,279,1484193324,1.38 GiB,41,10,0
Hardware Target Game Database/Fairchild Channel F,https://myrient.erista.me/files/Hardware%20Target%20Game%20Database/Fairchild%20Channel%20F/,2,1,66662,65.10 KiB,1,66662,65.10 KiB,1,0,0
Hardware Target Game Database/Famicom Disk System,https://myrient.erista.me/files/Hardware%20Target%20Game%20Database/Famicom%20Disk%20System/,2,9,51352059,48.97 MiB,13,54810823,52.27 MiB,2,1,0
Hardware Target Game Database/Game Boy,https://myrient.erista.me/files/Hardware%20Target%20Game%20Database/Game%20Boy/,2,10,134207791,127.99 MiB,43,743156822,708.73 MiB,7,4,0
Hardware Target Game Database/Game Boy Color,https://myrient.erista.me/files/Hardware%20Target%20Game%20Database/Game%20Boy%20Color/,2,9,507787671,484.26 MiB,17,1054829767,1005.96 MiB,4,3,0
Hardware Target Game Database/Master EverDrive,https://myrient.erista.me/files/Hardware%20Target%20Game%20Database/Master%20EverDrive/,2,10,126767895,120.90 MiB,110,383979046,366.19 MiB,25,4,0
Hardware Target Game Database/Mega EverDrive,https://myrient.erista.me/files/Hardware%20Target%20Game%20Database/Mega%20EverDrive/,2,12,1245393875,1.16 GiB,216,6406422709,5.97 GiB,47,6,0
Hardware Target Game Database/MegaSD,https://myrient.erista.me/files/Hardware%20Target%20Game%20Database/MegaSD/,2,4,694,694 B,12,4226495975,3.94 GiB,2,1,0
Hardware Target Game Database/MiSTer,https://myrient.erista.me/files/Hardware%20Target%20Game%20Database/MiSTer/,2,6,51385429,49.00 MiB,126,10827623254,10.08 GiB,13,2,0
Hardware Target Game Database/MiSTer Acorn Archimedes Add-On,https://myrient.erista.me/files/Hardware%20Target%20Game%20Database/MiSTer%20Acorn%20Archimedes%20Add-On/,2,0,0,0 B,1,178677350,170.40 MiB,2,1,0
Hardware Target Game Database/MiSTer Neo Geo Add-On,https://myrient.erista.me/files/Hardware%20Target%20Game%20Database/MiSTer%20Neo%20Geo%20Add-On/,2,0,0,0 B,9,8946450427,8.33 GiB,3,1,0
Hardware Target Game Database/MiSTer Spectrum Add-On,https://myrient.erista.me/files/Hardware%20Target%20Game%20Database/MiSTer%20Spectrum%20Add-On/,2,0,0,0 B,7,347078652,331.00 MiB,3,1,0
Hardware Target Game Database/MiSTer TSConf Add-On,https://myrient.erista.me/files/Hardware%20Target%20Game%20Database/MiSTer%20TSConf%20Add-On/,2,0,0,0 B,1,359242137,342.60 MiB,2,1,0
Hardware Target Game Database/NES2.0,https://myrient.erista.me/files/Hardware%20Target%20Game%20Database/NES2.0/,2,6,73299239,69.90 MiB,59,1197904252,1.12 GiB,11,8,0
Hardware Target Game Database/NGPC RetroHQ,https://myrient.erista.me/files/Hardware%20Target%20Game%20Database/NGPC%20RetroHQ/,2,8,104408061,99.57 MiB,54,257652615,245.72 MiB,11,2,0
Hardware Target Game Database/NSF Music,https://myrient.erista.me/files/Hardware%20Target%20Game%20Database/NSF%20Music/,2,27,47923496,45.70 MiB,27,47923496,45.70 MiB,1,0,0
Hardware Target Game Database/PC Engine CD Redump Supplement,https://myrient.erista.me/files/Hardware%20Target%20Game%20Database/PC%20Engine%20CD%20Redump%20Supplement/,2,34,12665015491,11.80 GiB,83,31654202537,29.48 GiB,6,4,0
Hardware Target Game Database/PlayStation Redump Supplement,https://myrient.erista.me/files/Hardware%20Target%20Game%20Database/PlayStation%20Redump%20Supplement/,2,73,28415517157,26.46 GiB,100,41927362625,39.05 GiB,3,2,0
Hardware Target Game Database/Project Peacock - All PCE platform shooters,https://myrient.erista.me/files/Hardware%20Target%20Game%20Database/Project%20Peacock%20-%20All%20PCE%20platform%20shooters/,2,61,24997317812,23.28 GiB,89,34059114257,31.72 GiB,3,2,0
Hardware Target Game Database/SPC Music,https://myrient.erista.me/files/Hardware%20Target%20Game%20Database/SPC%20Music/,2,0,0,0 B,1628,1836667468,1.71 GiB,15,2,0
Hardware Target Game Database/Saturn Redump Supplement,https://myrient.erista.me/files/Hardware%20Target%20Game%20Database/Saturn%20Redump%20Supplement/,2,31,13644595188,12.71 GiB,66,26690977765,24.86 GiB,3,1,0
Hardware Target Game Database/Sega 32X,https://myrient.erista.me/files/Hardware%20Target%20Game%20Database/Sega%2032X/,2,6,386783024,368.87 MiB,6,386783024,368.87 MiB,1,0,0
Hardware Target Game Database/Sega SG-1000,https://myrient.erista.me/files/Hardware%20Target%20Game%20Database/Sega%20SG-1000/,2,8,5604349,5.34 MiB,8,5604349,5.34 MiB,1,0,0
Hardware Target Game Database/SegaCD,https://myrient.erista.me/files/Hardware%20Target%20Game%20Database/SegaCD/,2,0,0,0 B,499,179191597153,166.89 GiB,37,14,0
Hardware Target Game Database/Super EverDrive & SD2SNES,https://myrient.erista.me/files/Hardware%20Target%20Game%20Database/Super%20EverDrive%20%26%20SD2SNES/,2,10,1682859781,1.57 GiB,404,14435959706,13.44 GiB,109,8,0
Hardware Target Game Database/Turbo EverDrive & Super SD System 3,https://myrient.erista.me/files/Hardware%20Target%20Game%20Database/Turbo%20EverDrive%20%26%20Super%20SD%20System%203/,2,10,119851310,114.30 MiB,77,339908163,324.16 MiB,15,2,0
Hardware Target Game Database/Vectrex,https://myrient.erista.me/files/Hardware%20Target%20Game%20Database/Vectrex/,2,5,1444759,1.38 MiB,31,2238041,2.13 MiB,7,1,0
Hardware Target Game Database/Virtual Boy,https://myrient.erista.me/files/Hardware%20Target%20Game%20Database/Virtual%20Boy/,2,8,62698801,59.79 MiB,26,108703939,103.67 MiB,5,2,0
Hardware Target Game Database/Watara Supervision,https://myrient.erista.me/files/Hardware%20Target%20Game%20Database/Watara%20Supervision/,2,1,1572864,1.50 MiB,1,1572864,1.50 MiB,1,0,0
Hardware Target Game Database/Wonderswan,https://myrient.erista.me/files/Hardware%20Target%20Game%20Database/Wonderswan/,2,6,316196144,301.55 MiB,66,1063903820,1014.62 MiB,22,2,0
Internet Archive/96x65pixels,https://myrient.erista.me/files/Internet%20Archive/96x65pixels/,2,0,0,0 B,273,937208355619,872.84 GiB,28,25,0
Internet Archive/EBZero,https://myrient.erista.me/files/Internet%20Archive/EBZero/,2,0,0,0 B,138,509121547124,474.16 GiB,21,13,0
Internet Archive/Unknown,https://myrient.erista.me/files/Internet%20Archive/Unknown/,2,0,0,0 B,652,797582588203,742.81 GiB,4,3,0
Internet Archive/aberusugi,https://myrient.erista.me/files/Internet%20Archive/aberusugi/,2,0,0,0 B,664,25727817389,23.96 GiB,2,1,0
Internet Archive/aitus95,https://myrient.erista.me/files/Internet%20Archive/aitus95/,2,0,0,0 B,3765,17120312249858,15.57 TiB,30,15,0
Internet Archive/archiver_2020,https://myrient.erista.me/files/Internet%20Archive/archiver_2020/,2,0,0,0 B,1171,1404111337515,1.28 TiB,11,10,0
Internet Archive/bingbong294,https://myrient.erista.me/files/Internet%20Archive/bingbong294/,2,0,0,0 B,1684,39520639144,36.81 GiB,22,2,0
Internet Archive/bluemaxima,https://myrient.erista.me/files/Internet%20Archive/bluemaxima/,2,0,0,0 B,28939,2398011933983,2.18 TiB,106,104,0
Internet Archive/chadmaster,https://myrient.erista.me/files/Internet%20Archive/chadmaster/,2,0,0,0 B,46026,7589252226164,6.90 TiB,144,30,0
Internet Archive/cmpltromsets,https://myrient.erista.me/files/Internet%20Archive/cmpltromsets/,2,0,0,0 B,1145,279457264375,260.26 GiB,8,1,0
Internet Archive/joyrider3774,https://myrient.erista.me/files/Internet%20Archive/joyrider3774/,2,0,0,0 B,1971,3063748425,2.85 GiB,61,1,0
Internet Archive/kodi_amp_spmc_canada,https://myrient.erista.me/files/Internet%20Archive/kodi_amp_spmc_canada/,2,0,0,0 B,3985,5371207655097,4.89 TiB,8,7,0
Internet Archive/lollo_220,https://myrient.erista.me/files/Internet%20Archive/lollo_220/,2,0,0,0 B,1431,1075050564056,1001.22 GiB,660,1,0
Internet Archive/md_,https://myrient.erista.me/files/Internet%20Archive/md_/,2,0,0,0 B,149,26137540956,24.34 GiB,2,1,0
Internet Archive/mdashk,https://myrient.erista.me/files/Internet%20Archive/mdashk/,2,0,0,0 B,2727,124016905560,115.50 GiB,29,1,0
Internet Archive/megaarch1996,https://myrient.erista.me/files/Internet%20Archive/megaarch1996/,2,0,0,0 B,19840,59368595695,55.29 GiB,46,33,0
Internet Archive/pixelspoil,https://myrient.erista.me/files/Internet%20Archive/pixelspoil/,2,0,0,0 B,435,312196097830,290.76 GiB,3,1,0
Internet Archive/renascene,https://myrient.erista.me/files/Internet%20Archive/renascene/,2,0,0,0 B,4387,417986935835,389.28 GiB,2940,1,0
Internet Archive/retro_game_champion,https://myrient.erista.me/files/Internet%20Archive/retro_game_champion/,2,0,0,0 B,380,1494790532144,1.36 TiB,64,2,0
Internet Archive/romhacking_net,https://myrient.erista.me/files/Internet%20Archive/romhacking_net/,2,0,0,0 B,7,12569712949,11.71 GiB,2,1,0
Internet Archive/rompacker,https://myrient.erista.me/files/Internet%20Archive/rompacker/,2,0,0,0 B,60149,1099615284149,1.00 TiB,670,1,0
Internet Archive/rvt-r,https://myrient.erista.me/files/Internet%20Archive/rvt-r/,2,0,0,0 B,7436,164255517744,152.97 GiB,574,572,0
Internet Archive/sketch_the_cow,https://myrient.erista.me/files/Internet%20Archive/sketch_the_cow/,2,0,0,0 B,8598,120365957760,112.10 GiB,29,1,0
Internet Archive/storage_manager,https://myrient.erista.me/files/Internet%20Archive/storage_manager/,2,0,0,0 B,30499,41027576346,38.21 GiB,221,2,0
Internet Archive/superbio,https://myrient.erista.me/files/Internet%20Archive/superbio/,2,0,0,0 B,5,498337381,475.25 MiB,2,1,0
Internet Archive/teamgt19,https://myrient.erista.me/files/Internet%20Archive/teamgt19/,2,0,0,0 B,5457,1912139847597,1.74 TiB,22,3,0
Internet Archive/the_last_collector,https://myrient.erista.me/files/Internet%20Archive/the_last_collector/,2,0,0,0 B,1600,508874411909,473.93 GiB,733,1,0
Internet Archive/xabem42551_luravell_com,https://myrient.erista.me/files/Internet%20Archive/xabem42551_luravell_com/,2,0,0,0 B,519,565234531029,526.42 GiB,3,1,0
Internet Archive/yahweasel,https://myrient.erista.me/files/Internet%20Archive/yahweasel/,2,0,0,0 B,584,102666194055,95.62 GiB,23,22,0
Laserdisc Collection/!README,https://myrient.erista.me/files/Laserdisc%20Collection/%21README/,2,2,26009,25.40 KiB,2,26009,25.40 KiB,1,0,0
Laserdisc Collection/Amiga Genlock Project,https://myrient.erista.me/files/Laserdisc%20Collection/Amiga%20Genlock%20Project/,2,1,28668906700,26.70 GiB,1,28668906700,26.70 GiB,1,0,0
Laserdisc Collection/Ares,https://myrient.erista.me/files/Laserdisc%20Collection/Ares/,2,0,0,0 B,50,1138611330951,1.04 TiB,7,6,0
Laserdisc Collection/Daphne,https://myrient.erista.me/files/Laserdisc%20Collection/Daphne/,2,0,0,0 B,18299,117027038892,108.99 GiB,221,4,0
Laserdisc Collection/Hypseus Singe,https://myrient.erista.me/files/Laserdisc%20Collection/Hypseus%20Singe/,2,0,0,0 B,8688,269039253850,250.56 GiB,478,5,0
