path,url,depth,direct_files,direct_bytes,direct_bytes_human,recursive_files,recursive_bytes,recursive_bytes_human,recursive_dirs,subdir_count,external_refs
MAME/Software List CHDs (merged)/psx/smilepty,https://myrient.erista.me/files/MAME/Software%20List%20CHDs%20%28merged%29/psx/smilepty/,4,1,153406668,146.30 MiB,1,153406668,146.30 MiB,1,0,0
MAME/Software List CHDs (merged)/psx/smurfrac,https://myrient.erista.me/files/MAME/Software%20List%20CHDs%20%28merged%29/psx/smurfrac/,4,2,257110834,245.20 MiB,2,257110834,245.20 MiB,1,0,0
MAME/Software List CHDs (merged)/psx/smurfs,https://myrient.erista.me/files/MAME/Software%20List%20CHDs%20%28merged%29/psx/smurfs/,4,1,310693068,296.30 MiB,1,310693068,296.30 MiB,1,0,0
MAME/Software List CHDs (merged)/psx/snatcher,https://myrient.erista.me/files/MAME/Software%20List%20CHDs%20%28merged%29/psx/snatcher/,4,1,367421030,350.40 MiB,1,367421030,350.40 MiB,1,0,0
MAME/Software List CHDs (merged)/psx/sndqube,https://myrient.erista.me/files/MAME/Software%20List%20CHDs%20%28merged%29/psx/sndqube/,4,1,2411724,2.30 MiB,1,2411724,2.30 MiB,1,0,0
MAME/Software List CHDs (merged)/psx/snobokid,https://myrient.erista.me/files/MAME/Software%20List%20CHDs%20%28merged%29/psx/snobokid/,4,1,142396620,135.80 MiB,1,142396620,135.80 MiB,1,0,0
MAME/Software List CHDs (merged)/psx/snocross,https://myrient.erista.me/files/MAME/Software%20List%20CHDs%20%28merged%29/psx/snocross/,4,1,182766796,174.30 MiB,1,182766796,174.30 MiB,1,0,0
MAME/Software List CHDs (merged)/psx/snowbrd,https://myrient.erista.me/files/MAME/Software%20List%20CHDs%20%28merged%29/psx/snowbrd/,4,1,311217356,296.80 MiB,1,311217356,296.80 MiB,1,0,0
MAME/Software List CHDs (merged)/psx/sokyugrt,https://myrient.erista.me/files/MAME/Software%20List%20CHDs%20%28merged%29/psx/sokyugrt/,4,1,210449203,200.70 MiB,1,210449203,200.70 MiB,1,0,0
MAME/Software List CHDs (merged)/psx/solblast,https://myrient.erista.me/files/MAME/Software%20List%20CHDs%20%28merged%29/psx/solblast/,4,1,250924236,239.30 MiB,1,250924236,239.30 MiB,1,0,0
